xc_id,filename_wav,common_name,scientific_name,start_time,end_time,confidence
1047654,POECATRI_1047654_QA.wav,Black-capped Chickadee,Poecile atricapillus,0.0,3.0,0.747447669506073
1047654,POECATRI_1047654_QA.wav,Black-capped Chickadee,Poecile atricapillus,15.0,18.0,0.3275637626647949
1047654,POECATRI_1047654_QA.wav,Black-capped Chickadee,Poecile atricapillus,39.0,42.0,0.33991745114326477
1047654,POECATRI_1047654_QA.wav,Black-capped Chickadee,Poecile atricapillus,42.0,45.0,0.831028163433075
1047654,POECATRI_1047654_QA.wav,Black-capped Chickadee,Poecile atricapillus,45.0,48.0,0.9331390857696533
1047654,POECATRI_1047654_QA.wav,Black-capped Chickadee,Poecile atricapillus,51.0,54.0,0.6015921235084534
1047654,POECATRI_1047654_QA.wav,Black-capped Chickadee,Poecile atricapillus,54.0,57.0,0.6858356595039368
1047654,POECATRI_1047654_QA.wav,Carolina Chickadee,Poecile carolinensis,54.0,57.0,0.1051342710852623
