xc_id,filename_wav,common_name,scientific_name,start_time,end_time,confidence
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,3.0,6.0,0.8969364762306213
1100158,ZONOALBI_1100158_QA.wav,Chipping Sparrow,Spizella passerina,6.0,9.0,0.2655215561389923
1100158,ZONOALBI_1100158_QA.wav,Chipping Sparrow,Spizella passerina,9.0,12.0,0.9210144877433777
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,12.0,15.0,0.41587895154953003
1100158,ZONOALBI_1100158_QA.wav,Chipping Sparrow,Spizella passerina,15.0,18.0,0.331276535987854
1100158,ZONOALBI_1100158_QA.wav,Chipping Sparrow,Spizella passerina,18.0,21.0,0.8906068205833435
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,21.0,24.0,0.2534914016723633
1100158,ZONOALBI_1100158_QA.wav,Chipping Sparrow,Spizella passerina,24.0,27.0,0.8559321761131287
1100158,ZONOALBI_1100158_QA.wav,Chipping Sparrow,Spizella passerina,30.0,33.0,0.7816771268844604
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,30.0,33.0,0.43871673941612244
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,33.0,36.0,0.6495553851127625
1100158,ZONOALBI_1100158_QA.wav,Chipping Sparrow,Spizella passerina,36.0,39.0,0.9386937022209167
1100158,ZONOALBI_1100158_QA.wav,Chipping Sparrow,Spizella passerina,42.0,45.0,0.4261620044708252
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,45.0,48.0,0.2654821276664734
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,48.0,51.0,0.27962526679039
1100158,ZONOALBI_1100158_QA.wav,Blackpoll Warbler,Setophaga striata,48.0,51.0,0.12652644515037537
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,54.0,57.0,0.8399773836135864
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,57.0,60.0,0.1705528348684311
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,63.0,66.0,0.4981478750705719
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,66.0,69.0,0.45721435546875
1100158,ZONOALBI_1100158_QA.wav,Broad-winged Hawk,Buteo platypterus,72.0,75.0,0.55520099401474
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,75.0,78.0,0.9612394571304321
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,84.0,87.0,0.9500375986099243
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,90.0,93.0,0.6774744987487793
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,93.0,96.0,0.5185232162475586
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,102.0,105.0,0.31923210620880127
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,105.0,108.0,0.9329714179039001
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,123.0,126.0,0.931248664855957
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,135.0,138.0,0.3247096538543701
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,138.0,141.0,0.2563922107219696
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,162.0,165.0,0.5305652022361755
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,174.0,177.0,0.8521158695220947
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,189.0,192.0,0.6469960808753967
1100158,ZONOALBI_1100158_QA.wav,White-throated Sparrow,Zonotrichia albicollis,198.0,201.0,0.9857762455940247
