xc_id,filename_wav,common_name,scientific_name,start_time,end_time,confidence
1093668,TURDMIGR_1093668_QA.wav,Rose-breasted Grosbeak,Pheucticus ludovicianus,0.0,3.0,0.7759546041488647
1093668,TURDMIGR_1093668_QA.wav,American Robin,Turdus migratorius,0.0,3.0,0.4715738296508789
1093668,TURDMIGR_1093668_QA.wav,American Robin,Turdus migratorius,3.0,6.0,0.5522765517234802
1093668,TURDMIGR_1093668_QA.wav,Rose-breasted Grosbeak,Pheucticus ludovicianus,6.0,9.0,0.4378955364227295
1093668,TURDMIGR_1093668_QA.wav,American Robin,Turdus migratorius,6.0,9.0,0.3900323510169983
1093668,TURDMIGR_1093668_QA.wav,Baltimore Oriole,Icterus galbula,6.0,9.0,0.14540614187717438
1093668,TURDMIGR_1093668_QA.wav,Baltimore Oriole,Icterus galbula,9.0,12.0,0.6734909415245056
1093668,TURDMIGR_1093668_QA.wav,Brown Thrasher,Toxostoma rufum,9.0,12.0,0.18781162798404694
1093668,TURDMIGR_1093668_QA.wav,Northern Mockingbird,Mimus polyglottos,9.0,12.0,0.11059605330228806
1093668,TURDMIGR_1093668_QA.wav,American Robin,Turdus migratorius,12.0,15.0,0.5496092438697815
1093668,TURDMIGR_1093668_QA.wav,American Robin,Turdus migratorius,15.0,18.0,0.939514696598053
1093668,TURDMIGR_1093668_QA.wav,American Robin,Turdus migratorius,18.0,21.0,0.7401996850967407
1093668,TURDMIGR_1093668_QA.wav,Baltimore Oriole,Icterus galbula,21.0,24.0,0.3597908914089203
1093668,TURDMIGR_1093668_QA.wav,Rose-breasted Grosbeak,Pheucticus ludovicianus,21.0,24.0,0.3028391897678375
1093668,TURDMIGR_1093668_QA.wav,American Robin,Turdus migratorius,24.0,27.0,0.8602713942527771
1093668,TURDMIGR_1093668_QA.wav,Northern Cardinal,Cardinalis cardinalis,24.0,27.0,0.28934475779533386
1093668,TURDMIGR_1093668_QA.wav,American Robin,Turdus migratorius,27.0,30.0,0.7811064720153809
1093668,TURDMIGR_1093668_QA.wav,Baltimore Oriole,Icterus galbula,27.0,30.0,0.19382239878177643
1093668,TURDMIGR_1093668_QA.wav,Rose-breasted Grosbeak,Pheucticus ludovicianus,27.0,30.0,0.10366151481866837
1093668,TURDMIGR_1093668_QA.wav,Northern Cardinal,Cardinalis cardinalis,30.0,33.0,0.6074966788291931
1093668,TURDMIGR_1093668_QA.wav,Rose-breasted Grosbeak,Pheucticus ludovicianus,30.0,33.0,0.23300544917583466
1093668,TURDMIGR_1093668_QA.wav,American Robin,Turdus migratorius,30.0,33.0,0.14413410425186157
1093668,TURDMIGR_1093668_QA.wav,American Robin,Turdus migratorius,33.0,36.0,0.5486778020858765
1093668,TURDMIGR_1093668_QA.wav,Baltimore Oriole,Icterus galbula,33.0,36.0,0.37034285068511963
1093668,TURDMIGR_1093668_QA.wav,Rose-breasted Grosbeak,Pheucticus ludovicianus,36.0,39.0,0.9281911253929138
1093668,TURDMIGR_1093668_QA.wav,Northern Cardinal,Cardinalis cardinalis,36.0,39.0,0.2706563174724579
1093668,TURDMIGR_1093668_QA.wav,American Robin,Turdus migratorius,36.0,39.0,0.1571872979402542
1093668,TURDMIGR_1093668_QA.wav,Baltimore Oriole,Icterus galbula,36.0,39.0,0.11509016156196594
1093668,TURDMIGR_1093668_QA.wav,American Robin,Turdus migratorius,39.0,42.0,0.8699799180030823
1093668,TURDMIGR_1093668_QA.wav,Baltimore Oriole,Icterus galbula,39.0,42.0,0.22209781408309937
1093668,TURDMIGR_1093668_QA.wav,American Robin,Turdus migratorius,42.0,45.0,0.29148614406585693
1093668,TURDMIGR_1093668_QA.wav,Northern Cardinal,Cardinalis cardinalis,45.0,48.0,0.33668312430381775
1093668,TURDMIGR_1093668_QA.wav,American Robin,Turdus migratorius,45.0,48.0,0.3213617503643036
1093668,TURDMIGR_1093668_QA.wav,American Robin,Turdus migratorius,48.0,51.0,0.9605341553688049
1093668,TURDMIGR_1093668_QA.wav,Rose-breasted Grosbeak,Pheucticus ludovicianus,51.0,54.0,0.7076932787895203
1093668,TURDMIGR_1093668_QA.wav,American Robin,Turdus migratorius,54.0,57.0,0.24132351577281952
1093668,TURDMIGR_1093668_QA.wav,Rose-breasted Grosbeak,Pheucticus ludovicianus,57.0,60.0,0.4578625559806824
1093668,TURDMIGR_1093668_QA.wav,American Robin,Turdus migratorius,57.0,60.0,0.16923120617866516
