xc_id,filename_wav,common_name,scientific_name,start_time,end_time,confidence
1014599,SEIUAURO_1014599_QA.wav,Chestnut-sided Warbler,Setophaga pensylvanica,0.0,3.0,0.3819022476673126
1014599,SEIUAURO_1014599_QA.wav,Ovenbird,Seiurus aurocapilla,6.0,9.0,0.8100405931472778
1014599,SEIUAURO_1014599_QA.wav,Canada Warbler,Cardellina canadensis,9.0,12.0,0.22914129495620728
1014599,SEIUAURO_1014599_QA.wav,Chestnut-sided Warbler,Setophaga pensylvanica,12.0,15.0,0.44668981432914734
1014599,SEIUAURO_1014599_QA.wav,Ovenbird,Seiurus aurocapilla,21.0,24.0,0.8237932324409485
1014599,SEIUAURO_1014599_QA.wav,Ovenbird,Seiurus aurocapilla,39.0,42.0,0.39809611439704895
1014599,SEIUAURO_1014599_QA.wav,Ovenbird,Seiurus aurocapilla,54.0,57.0,0.9032817482948303
1014599,SEIUAURO_1014599_QA.wav,Ovenbird,Seiurus aurocapilla,72.0,75.0,0.6853048205375671
